City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
73,santiago,-33.4569,-70.6483,93.29,clear sky,0,0,25,0,14.97,CL
74,beloha,-25.1667,45.05,76.26,clear sky,0,0,67,2,18.66,MG
75,saskylakh,71.9167,114.0833,-28.68,broken clouds,0,0,100,56,7.29,RU
76,black river,18.0264,-77.8487,84.2,broken clouds,0,0,62,54,9.4,JM
77,port moresby,-9.4431,147.1797,74.62,light rain,0,0,94,75,9.22,PG
78,qaanaaq,77.484,-69.3632,-25.02,overcast clouds,0,0,93,95,6.29,GL
79,puerto ayora,-0.7393,-90.3518,85.96,overcast clouds,0,0,73,93,9.86,EC
80,erdenet,49.0333,104.0833,-3.06,overcast clouds,0,0,97,97,6.71,MN
81,mwinilunga,-11.7358,24.4293,63.37,moderate rain,0,0,98,100,3.38,ZM
82,medicine hat,50.0501,-110.6683,21.72,broken clouds,0,0,64,75,8.05,CA
83,oranjemund,-28.55,16.4333,64.72,clear sky,0,0,84,2,16.98,NA
84,chimbote,-9.0853,-78.5783,75.25,overcast clouds,0,0,71,94,12.93,PE
85,tuktoyaktuk,69.4541,-133.0374,-29.2,few clouds,0,0,75,20,8.05,CA
86,talcahuano,-36.7167,-73.1167,73.08,clear sky,0,0,53,0,17.27,CL
87,grafton,42.207,-71.6856,41.14,overcast clouds,0,0,59,100,5.99,US
88,aqtobe,50.2797,57.2072,-1.39,overcast clouds,0,0,100,97,4.16,KZ
89,lokosovo,61.1333,74.8167,4.59,overcast clouds,0,0,96,95,6.91,RU
90,gidole,5.65,37.3667,68.23,broken clouds,0,0,38,71,0.56,ET
91,caravelas,-17.7125,-39.2481,81.52,broken clouds,0,0,72,76,9.48,BR
92,harwich,51.9419,1.2844,60.01,overcast clouds,0,0,73,96,23.0,GB
93,adrar,20.5022,-10.0711,67.51,overcast clouds,0,0,16,86,15.9,MR
94,bryansk,53.2875,34.3806,32.56,overcast clouds,0,0,100,100,8.95,RU
95,oranjestad,12.524,-70.027,84.15,few clouds,0,0,65,20,26.46,AW
96,codrington,-38.2667,141.9667,60.58,overcast clouds,0,0,76,100,6.42,AU
97,lanxi,29.2195,119.477,40.87,overcast clouds,0,0,95,100,7.83,CN
98,chokurdakh,70.6333,147.9167,-34.28,few clouds,0,0,100,16,2.13,RU
99,pangody,65.85,74.4859,-7.01,broken clouds,0,0,99,80,8.84,RU
100,pacific grove,36.6177,-121.9166,66.58,clear sky,0,0,71,0,8.99,US
101,clyde river,70.4692,-68.5914,-30.77,clear sky,0,0,61,0,6.91,CA
102,belaya gora,68.5333,146.4167,-37.07,few clouds,0,0,100,23,0.69,RU
103,thompson,55.7435,-97.8558,-14.64,few clouds,0,0,64,20,11.5,CA
104,beian,63.6559,9.5683,32.09,few clouds,0,0,69,20,16.11,NO
105,kieta,-6.2167,155.6333,79.12,light rain,0,0,85,99,5.26,PG
106,bandarbeyla,9.4942,50.8122,74.55,scattered clouds,0,0,60,37,17.36,SO
107,bredasdorp,-34.5322,20.0403,61.29,overcast clouds,0,0,67,91,3.44,ZA
108,nanortalik,60.1432,-45.2371,12.0,overcast clouds,0,0,69,100,30.85,GL
109,pevek,69.7008,170.3133,-27.44,overcast clouds,0,0,99,100,5.77,RU
110,hofn,64.2539,-15.2082,33.82,overcast clouds,0,0,60,100,16.11,IS
111,longyearbyen,78.2186,15.6401,4.84,few clouds,0,0,85,20,13.8,SJ
112,barrow,71.2906,-156.7887,-26.07,scattered clouds,0,0,100,38,8.97,US
113,maragogi,-9.0122,-35.2225,82.45,few clouds,0,0,67,15,10.87,BR
114,alofi,-19.0595,-169.9187,78.69,clear sky,0,0,89,1,1.14,NU
115,ilulissat,69.2167,-51.1,-12.66,overcast clouds,0,0,94,100,4.97,GL
116,torbay,47.6666,-52.7314,16.57,few clouds,0,0,70,20,32.21,CA
117,fort frances,48.5999,-93.4003,14.16,overcast clouds,0,0,75,100,5.99,CA
118,beringovskiy,63.05,179.3167,-13.59,overcast clouds,0,0,95,100,14.43,RU
119,vila do maio,15.1333,-23.2167,74.19,overcast clouds,0,0,75,97,18.32,CV
120,novichikha,52.204,81.3877,4.84,overcast clouds,0,0,95,100,10.74,RU
121,tabas,33.5959,56.9244,49.5,clear sky,0,0,40,0,5.3,IR
122,eskisehir,39.7767,30.5206,36.39,few clouds,0,0,73,17,7.09,TR
123,paamiut,61.994,-49.6678,5.22,overcast clouds,0,0,81,100,16.82,GL
124,evensk,61.95,159.2333,-1.79,clear sky,0,0,74,0,12.8,RU
125,buala,-8.145,159.5921,79.09,overcast clouds,0,0,83,93,3.27,SB
126,pangai,-19.8,-174.35,77.11,few clouds,0,0,83,20,0.0,TO
127,emba,48.8264,58.1442,9.68,overcast clouds,0,0,100,100,4.59,KZ
128,taltal,-25.4,-70.4833,72.03,few clouds,0,0,72,23,9.46,CL
129,glasgow,55.8652,-4.2576,46.11,moderate rain,0,0,87,75,28.77,GB
130,mezen,65.8522,44.24,14.04,overcast clouds,0,0,98,97,1.41,RU
131,isangel,-19.55,169.2667,75.31,few clouds,0,0,94,20,0.0,VU
132,bambous virieux,-20.3428,57.7575,79.05,scattered clouds,0,0,78,40,12.66,MU
133,varkkallai,8.7341,76.7067,78.58,broken clouds,0,0,81,78,4.36,IN
134,berlevag,70.8578,29.0864,26.55,broken clouds,0,0,80,75,8.05,NO
135,rock springs,41.5875,-109.2029,30.24,mist,0,0,73,100,10.36,US
136,chunian,30.964,73.9803,54.48,clear sky,0,0,64,5,4.97,PK
137,boden,65.8252,21.6886,19.4,light snow,0,0,95,100,8.63,SE
138,bonavista,48.6499,-53.1147,15.12,overcast clouds,0,0,55,100,24.52,CA
139,prince rupert,54.3161,-130.3201,42.49,light rain,0,0,100,100,4.61,CA
140,rapid city,44.0805,-103.231,28.72,overcast clouds,0,0,82,100,12.66,US
141,lompoc,34.6391,-120.4579,69.57,clear sky,0,0,31,0,7.0,US
142,matagami,49.7502,-77.6328,21.31,light snow,0,0,86,100,12.66,CA
143,cayenne,4.9333,-52.3333,79.09,light rain,0,0,87,75,10.36,GF
144,burnie,-41.0667,145.9167,57.94,overcast clouds,0,0,96,87,12.12,AU
145,lakes entrance,-37.8811,147.981,67.57,light rain,0,0,93,100,11.34,AU
146,hisua,24.8333,85.4167,55.58,clear sky,0,0,58,0,5.23,IN
147,havre-saint-pierre,50.2334,-63.5986,9.19,broken clouds,0,0,66,75,12.66,CA
148,kyra,49.5776,111.9753,-4.94,light snow,0,0,100,100,1.36,RU
149,alice springs,-23.7,133.8833,65.75,overcast clouds,0,0,72,96,4.61,AU
150,vestmannaeyjar,63.4427,-20.2734,32.14,light snow,0,0,70,100,7.31,IS
151,leh,34.1667,77.5833,-5.64,broken clouds,0,0,85,71,1.14,IN
152,santana do matos,-5.9575,-36.6556,88.7,broken clouds,0,0,45,75,19.06,BR
153,atuona,-9.8,-139.0333,77.25,light rain,0,0,80,14,15.26,PF
154,bay roberts,47.5999,-53.2648,17.33,broken clouds,0,0,55,52,10.0,CA
155,portobelo,9.55,-79.65,90.86,broken clouds,0,0,73,78,14.0,PA
156,kawalu,-7.3817,108.2082,72.68,overcast clouds,0,0,97,100,0.65,ID
157,aykhal,66.0,111.5,-32.06,overcast clouds,0,0,100,100,5.17,RU
158,hingorja,27.2109,68.416,57.31,clear sky,0,0,25,0,6.51,PK
159,constitucion,-35.3333,-72.4167,72.36,clear sky,0,0,51,3,17.29,CL
160,kahului,20.8947,-156.47,77.97,clear sky,0,0,77,3,7.0,US
161,kaolack,14.1825,-16.2533,91.45,broken clouds,0,0,10,56,10.2,SN
162,danielskuil,-28.1887,23.5395,72.1,overcast clouds,0,0,56,91,2.89,ZA
163,sujiatun,41.6592,123.3392,1.58,clear sky,0,0,71,0,4.47,CN
164,lubaczow,50.157,23.1234,42.51,overcast clouds,0,0,74,100,18.19,PL
165,dhule,20.9,74.7833,73.67,clear sky,0,0,35,8,5.73,IN
166,mwene-ditu,-7.0,23.45,64.56,overcast clouds,0,0,95,94,1.88,CD
167,buritis,-15.6178,-46.4233,81.59,broken clouds,0,0,76,84,1.32,BR
168,totness,5.8833,-56.3167,78.66,overcast clouds,0,0,80,98,14.32,SR
169,bolivar,37.6145,-93.4105,65.32,overcast clouds,0,0,64,100,18.01,US
170,semey,50.4111,80.2275,-6.59,few clouds,0,0,96,15,5.44,KZ
171,fortuna,40.5982,-124.1573,58.42,broken clouds,0,0,74,75,12.66,US
172,whitianga,-36.8333,175.7,66.02,broken clouds,0,0,77,64,3.13,NZ
173,sterling,39.0062,-77.4286,54.34,clear sky,0,0,48,0,15.01,US
174,dikson,73.5069,80.5464,-24.5,overcast clouds,0,0,100,94,2.62,RU
175,mar del plata,-38.0023,-57.5575,75.22,scattered clouds,0,0,76,40,21.99,AR
176,bethel,41.3712,-73.414,42.91,overcast clouds,0,0,64,100,4.0,US
177,castro,-24.7911,-50.0119,63.3,light rain,0,0,85,81,4.36,BR
178,nome,64.5011,-165.4064,-6.02,few clouds,0,0,83,17,10.09,US
179,kungurtug,50.5994,97.5228,-1.53,overcast clouds,0,0,99,100,2.28,RU
180,hervey bay,-25.2986,152.8535,68.11,clear sky,0,0,91,6,5.99,AU
181,bani walid,31.7566,13.9942,51.89,clear sky,0,0,48,0,10.0,LY
182,omsukchan,62.5333,155.8,-29.6,overcast clouds,0,0,100,100,5.99,RU
183,port blair,11.6667,92.75,77.04,mist,0,0,94,75,0.0,IN
184,george,-33.963,22.4617,60.35,overcast clouds,0,0,88,100,6.91,ZA
185,liaqatabad,31.5647,74.3029,60.84,smoke,0,0,72,0,0.0,PK
186,broome,42.2506,-75.833,43.21,overcast clouds,0,0,60,100,13.0,US
